Date,Capital
2010-05-24,20344.446424845177
2010-05-25,20344.446424845177
2010-05-26,20343.810877558248
2010-05-27,21991.560185260056
2010-05-28,22078.223017011554
2010-06-01,21401.617382062945
2010-06-02,21401.617382062945
2010-06-03,21401.617382062945
2010-06-04,21401.617382062945
2010-06-07,21401.617382062945
2010-06-08,21401.617382062945
2010-06-09,21401.617382062945
2010-06-10,21401.617382062945
2010-06-11,21401.617382062945
2010-06-14,21401.617382062945
2010-06-15,21401.617382062945
2010-06-16,21401.617382062945
2010-06-17,21401.617382062945
2010-06-18,21401.617382062945
2010-06-21,21401.617382062945
2010-06-22,21401.617382062945
2010-06-23,21401.617382062945
2010-06-24,21401.617382062945
2010-06-25,21401.617382062945
2010-06-28,21401.617382062945
2010-06-29,21401.617382062945
2010-06-30,21401.617382062945
2010-07-01,21401.617382062945
2010-07-02,21401.617382062945
2010-07-06,21401.617382062945
2010-07-07,21401.617382062945
2010-07-08,21401.617382062945
2010-07-09,21401.617382062945
2010-07-12,21401.617382062945
2010-07-13,21401.617382062945
2010-07-14,21401.617382062945
2010-07-15,21401.617382062945
2010-07-16,21401.617382062945
2010-07-19,21401.617382062945
2010-07-20,21401.617382062945
2010-07-21,21401.617382062945
2010-07-22,21401.617382062945
2010-07-23,21401.617382062945
2010-07-26,21401.617382062945
2010-07-27,21401.617382062945
2010-07-28,21401.617382062945
2010-07-29,21401.617382062945
2010-07-30,21401.617382062945
2010-08-02,21401.617382062945
2010-08-03,21401.617382062945
2010-08-04,21401.617382062945
2010-08-05,21401.617382062945
2010-08-06,21401.617382062945
2010-08-09,21401.617382062945
2010-08-10,21401.617382062945
2010-08-11,21401.617382062945
2010-08-12,21401.617382062945
2010-08-13,21401.617382062945
2010-08-16,21401.617382062945
2010-08-17,21401.617382062945
2010-08-18,21401.617382062945
2010-08-19,21401.617382062945
2010-08-20,21401.617382062945
2010-08-23,21401.617382062945
2010-08-24,21401.617382062945
2010-08-25,21401.617382062945
2010-08-26,21401.617382062945
2010-08-27,21401.617382062945
2010-08-30,21401.617382062945
2010-08-31,21401.617382062945
2010-09-01,21401.617382062945
2010-09-02,21401.617382062945
2010-09-03,21401.617382062945
2010-09-07,21401.617382062945
2010-09-08,21401.617382062945
2010-09-09,21401.617382062945
2010-09-10,21401.617382062945
2010-09-13,21401.617382062945
2010-09-14,21401.617382062945
2010-09-15,21401.617382062945
2010-09-16,21401.617382062945
2010-09-17,21401.617382062945
2010-09-20,21401.617382062945
2010-09-21,21401.617382062945
2010-09-22,21401.617382062945
2010-09-23,21401.617382062945
2010-09-24,21401.617382062945
2010-09-27,21401.617382062945
2010-09-28,21401.617382062945
2010-09-29,21401.617382062945
2010-09-30,21401.617382062945
2010-10-01,21198.467118680015
2010-10-04,20978.2344072287
2010-10-05,20977.684407228702
2010-10-06,20619.493756328986
2010-10-07,20618.943756328987
2010-10-08,20880.765959255637
2010-10-11,21046.40857743372
2010-10-12,21307.340228649733
2010-10-13,21993.06504583858
2010-10-14,21953.880770570646
2010-10-15,23133.861787161837
2010-10-18,23161.468890191518
2010-10-19,22401.82828101998
2010-10-20,22804.35765422694
